num_of_job,num_of_machine,splitmin,FCFS_%LB,FCFS_t_ms,SA_%LB,SA_t_ms,GA_%LB,GA_t_ms
10,2,3,28.19,0.13,19.28,8791.09,19.52,8496.87
10,2,4,32.58,0.13,20.07,8954.56,20.5,8711.52
10,2,5,34.1,0.12,17.65,8664.43,18.58,8623.87
10,3,3,41.0,0.16,22.23,11524.77,23.85,9896.83
10,3,4,41.75,0.16,19.18,11328.73,20.66,9818.87
10,3,5,44.45,0.15,20.16,11062.49,22.25,9764.77
10,4,3,54.53,0.17,22.91,13693.73,26.91,10860.46
10,4,4,49.12,0.2,21.86,13609.49,26.12,10833.53
10,4,5,49.48,0.16,22.0,13304.05,26.74,10746.87
20,2,3,25.97,0.21,19.21,13510.41,19.83,13942.71
20,2,4,30.74,0.23,19.97,13912.01,20.66,14290.55
20,2,5,30.28,0.21,18.93,13370.68,19.8,13888.77
20,3,3,30.91,0.26,19.49,17582.49,20.1,15760.76
20,3,4,33.44,0.26,19.45,17321.32,20.43,15745.07
20,3,5,33.59,0.27,18.33,17070.12,19.47,15689.05
20,4,3,36.33,0.32,21.67,21332.18,22.77,17508.83
20,4,4,37.01,0.3,19.23,20790.26,21.5,17217.39
20,4,5,38.67,0.29,19.67,20308.43,21.05,17062.37
30,2,3,36.95,0.26,32.15,16262.93,32.6,19089.85
30,2,4,34.17,0.27,26.99,16943.47,27.51,19839.23
30,2,5,37.04,0.28,27.24,17246.94,28.1,20904.43
30,3,3,27.86,0.35,19.66,22623.24,20.54,20973.25
30,3,4,29.28,0.37,19.58,22625.5,20.49,20719.61
30,3,5,30.91,0.37,19.89,22637.59,20.45,21219.55
30,4,3,29.5,0.42,19.83,27793.56,20.75,22831.02
30,4,4,32.53,0.42,20.09,27462.9,21.25,22929.32
30,4,5,34.47,0.43,20.91,27456.75,22.91,23053.8
40,2,3,38.94,0.32,35.28,19184.59,35.44,23779.97
40,2,4,40.95,0.33,35.76,19252.46,36.15,24204.97
40,2,5,43.3,0.33,35.64,19766.17,36.18,23867.79
40,3,3,33.95,0.44,26.95,26800.23,27.78,26589.36
40,3,4,34.83,0.44,24.91,27195.31,25.6,28154.54
40,3,5,39.02,0.45,25.06,27503.77,26.57,29126.34
40,4,3,28.72,0.53,20.86,33662.91,21.52,27795.4
40,4,4,29.1,0.54,20.1,33982.86,20.88,27976.78
40,4,5,32.08,0.53,21.12,33874.82,21.7,28523.44
50,2,3,38.81,0.35,36.71,21041.26,37.03,25759.08
50,2,4,44.33,0.38,39.72,21898.73,40.0,27387.05
50,2,5,42.22,0.38,35.59,22735.38,36.01,28682.13
50,3,3,46.73,0.47,41.26,28903.24,41.86,31511.7
50,3,4,39.62,0.51,32.59,30411.2,33.41,34154.94
50,3,5,45.41,0.51,34.64,31178.64,35.08,35514.51
50,4,3,32.39,0.59,25.09,37982.41,25.9,33284.8
50,4,4,32.39,0.66,22.37,39261.3,23.21,35348.03
50,4,5,33.51,0.65,22.28,40022.13,23.18,35091.85
